mesocosm,depth_cm,depth_abstract,type,olivine_size,Oltreat,plant,plant_yesno,Al_ppm,Ba_ppm,Co_ppm,Cr_ppm,Fe_ppm,Mg_ppm,Mn_ppm,Ni_ppm,Sr_ppm,Zn_ppm
21,-10,middle,blank,fine,ol_yes,noPlant,plant_no,15448.6781398103,233.270030211155,6.64065692078353,44.2712320551129,9888.88235215183,1441.47612447808,188.091260347493,7.49180711144478,70.3225024643563,47.5365202429329
21,-18,bottom,blank,fine,ol_yes,noPlant,plant_no,12164.8299546436,238.845420341014,7.62878464298881,43.2955715108624,9893.9960155092,864.969291023781,205.223363539999,6.70159062873268,57.0048828237964,48.2757868809287
22,-2,surface,blank,none,ol_no,noPlant,plant_no,12188.5532605285,237.110185117725,7.40798793829365,56.1307258763227,10883.3054006232,824.27392271857,235.693484921148,7.12695806431475,61.5550661174475,56.5412237384223
22,-10,middle,blank,none,ol_no,noPlant,plant_no,41889.299353789,263.766713332,14.1440665718,72.6049857166667,21647.1293315532,3775.69364659589,190.071483969841,19.8443598351802,70.2860951156494,66.6078048325766
22,-18,bottom,blank,none,ol_no,noPlant,plant_no,11741.4078398132,243.149849898599,7.82390604583055,60.3657883422282,14554.6651107702,751.402372329859,237.061022113957,7.63774882851586,62.1669822118153,57.8906663750885
23,-2,surface,blank,none,ol_no,noPlant,plant_no,10499.4594859311,262.798479215529,8.21147183246319,60.0031515562249,10287.5762255356,551.463222728783,224.537801368014,6.77392985153634,60.4169500933242,60.9899720428383
23,-10,middle,blank,none,ol_no,noPlant,plant_no,15440.8581608882,253.076149166445,7.88812565758988,54.9188922270306,11140.3298813363,753.927280076385,223.349751269892,7.09033268352331,63.9792783846537,64.7088557615672
23,-16,bottom,blank,none,ol_no,noPlant,plant_no,10945.7911306927,233.47860026768,7.52061444920687,56.6066968380701,11355.6651071745,660.13771717777,225.742303216846,7.2884464270354,64.2745446352127,69.8708808134243
24,-2,surface,blank,fine,ol_yes,noPlant,plant_no,25974.8161295306,210.841685478581,24.3807467581325,476.728534850067,18362.8602491562,64841.2497992055,357.385542530507,395.467691962824,82.9915031133919,80.5976388210013
24,-10,middle,blank,fine,ol_yes,noPlant,plant_no,16687.5779443967,234.114934644282,7.28486929963431,43.7764191263298,9861.99824284247,1070.92829635188,192.190845002596,7.79320379491323,63.950834414608,47.3457080416649
24,-18,bottom,blank,fine,ol_yes,noPlant,plant_no,13766.1443938631,264.310632426764,7.88981083665113,59.3999069347537,11001.0740244702,792.782664348442,267.448738854492,8.58709661204265,71.607605263162,72.5325730964173
25,-2,surface,blank,none,ol_no,noPlant,plant_no,14301.2716472662,248.358701762948,8.5413531186255,46.8801799243028,11099.6951980574,707.45020538692,216.427738268655,8.26996694096258,64.5878907242088,65.1076213554781
25,-10,middle,blank,none,ol_no,noPlant,plant_no,15965.2570243226,243.871396892786,7.88261860466578,40.4314816121774,11669.7771827197,589.550909390721,248.986138338777,7.05166958651524,66.7729110015759,90.1000084526797
25,-16,bottom,blank,none,ol_no,noPlant,plant_no,13704.0755068498,249.605638966555,7.81091589073579,49.4528738234114,10328.0035330269,921.695248852707,201.954689110905,6.87310007050241,69.5342168707504,51.591000334866
26,-2,surface,blank,none,ol_no,noPlant,plant_no,11864.5912851577,254.745737353529,7.81794142253662,48.1833321344874,12010.7673724403,984.728045054252,236.917238128227,7.3695777754372,58.0473038266544,93.9028330264032
26,-10,middle,blank,none,ol_no,noPlant,plant_no,14158.880118243,238.454119140316,7.49425652282609,47.5445102213439,10687.678071101,770.450934773121,198.57456838296,6.42533542056302,71.1028102008675,51.1228211747469
26,-14,bottom,blank,none,ol_no,noPlant,plant_no,9799.60973937607,343.642800003336,7.11397836667778,45.0284752608406,9168.29608369755,439.757488035484,241.331590792936,5.81660486562678,46.3231931805441,44.051703468185
27,-2,surface,blank,coarse,ol_yes,noPlant,plant_no,42235.5463401429,218.813116747832,22.3036213053035,207.806363119413,19490.4700407762,55623.9204290248,366.213679419523,332.66130270053,107.598096565333,69.3315991683461
27,-10,middle,blank,coarse,ol_yes,noPlant,plant_no,22709.4572645315,243.400542902906,7.67490783464333,47.1250510673712,10758.7522586298,1024.4581845495,209.615497893622,8.63133906070952,66.8342683372341,51.6309371125146
27,-18,bottom,blank,coarse,ol_yes,noPlant,plant_no,11316.2652250546,228.929508945077,6.97744177605492,42.2879928104488,8503.05967292003,342.21666916303,164.472201498412,5.75847959550987,51.0071050411754,41.1879397190166
28,-2,surface,mesocosm,coarse,ol_yes,Barley,plant_yes,33651.4308004921,231.734833490132,21.0023328135855,544.102960898684,18024.9584237169,51273.982079494,405.187260135516,310.701928559408,110.238127653349,71.2242644801006
